site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09276700,"DUCHESNE RIVER NEAR HANNA, UT",40.45798889,-110.82778611,UT,013,140600030203,140600030203,14,,ST,Yes,Southwest,False,True
09277000,"DUCHESNE R (@ 'THE POINT'), @ HANNA, UTAH",40.41522494,-110.7826621,UT,013,14060003,14060003,14,230.00,ST,Yes,Southwest,False,True
09277500,"DUCHESNE RIVER NEAR TABIONA, UT",40.2997472,-110.6042556,UT,013,14060003,14060003,14,353,ST,Yes,Southwest,False,True
09277501,COM FL DUCHESNE R & DUCHESNE TUN NR TABIONA,40.30023027,-110.602381,UT,013,14060003,14060003,14,356.00,ST,Yes,Southwest,False,True
09277800,"ROCK CREEK ABOVE SOUTH FORK, NEAR HANNA, UT",40.55744514,-110.6979414,UT,013,14060003,14060003,14,98.90,ST,Yes,Southwest,False,True
09278000,"SOUTH FORK ROCK CREEK NEAR HANNA,UTAH",40.54827849,-110.69433,UT,013,14060003,14060003,14,15.70,ST,Yes,Southwest,False,True
09278500,"ROCK CREEK NEAR HANNA, UTAH",40.545501,-110.656274,UT,013,14060003,14060003,14,122.00,ST,Yes,Southwest,False,True
09278700,ROCK CR BL MINERS GULCH NR HANNA UTAH,40.53244575,-110.6234957,UT,013,14060003,14060003,14,133.00,ST,Yes,Southwest,False,True
09279000,"ROCK CREEK NEAR MOUNTAIN HOME, UT",40.4931111,-110.5772222,UT,013,14060003,14060003,14,147,ST,Yes,Southwest,False,True
09279100,"ROCK CREEK NEAR TALMAGE, UT",40.31106428,-110.4940467,UT,013,14060003,14060003,14,238.00,ST,Yes,Southwest,False,True
09279150,"DUCHESNE RIV ABV KNIGHT DIVERSION, NR DUCHESNE, UT",40.27051046,-110.4426567,UT,013,14060003,14060003,14,623.00,ST,Yes,Southwest,False,True
09279500,"DUCHESNE RIVER AT DUCHESNE, UTAH",40.16412475,-110.3934884,UT,013,14060003,14060003,14,660.00,ST,Yes,Southwest,False,True
09279501,COM FL DUCHESNE R AT DUCHESNE & DUCHESNE TUNNEL,40.16412475,-110.3934884,UT,013,14060003,14060003,14,660.00,ST,Yes,Southwest,False,True
09280000,"STRAWBERRY R AND WILLOW C DITCHES NR HEBER, UT",40.3332882,-111.2340606,UT,051,14060004,14060004,14,,ST,Yes,Southwest,False,True
09280400,HOBBLE CREEK AT DANIELS SUMMIT NEAR WALLSBURG UT,40.29828906,-111.2651733,UT,051,14060004,14060004,14,2.89,ST,Yes,Southwest,False,True
09280500,"UPPER HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,UT,051,16020203,16020203,16,,ST,Yes,Southwest,False,True
09281000,"LOWER HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,UT,051,16020203,16020203,16,,ST,Yes,Southwest,False,True
09281500,"HOBBLE CREEK DITCH NEAR HEBER, UTAH",40.29995559,-111.2507279,UT,051,16020203,16020203,16,,ST,Yes,Southwest,False,True
09282000,"STRAWBERRY TUNNEL AT WEST PORTAL, NR THISTLE",40.1610673,-111.2451727,UT,049,16020202,16020202,16,,ST,Yes,Southwest,False,True
09285000,"STRAWBERRY RIVER NEAR SOLDIER SPRINGS, UT",40.13328794,-111.024887,UT,051,14060004,14060004,14,213.00,ST,Yes,Southwest,False,True
09285500,WILLOW CR NR SOLDIER SPRINGS UT,40.1180103,-111.010442,UT,051,14060004,14060004,14,44.00,ST,Yes,Southwest,False,True
09285700,"STRAWBERRY RIVER ABOVE RED C NR FRUITLAND, UT",40.11690036,-110.8082145,UT,013,14060004,14060004,14,363.00,ST,Yes,Southwest,False,True
09285900,"STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT",40.1271783,-110.7418242,UT,013,14060004,14060004,14,362,ST,Yes,Southwest,False,True
09286100,"RED CREEK ABOVE RESERVOIR, NEAR FRUITLAND, UT",40.32994978,-110.8626625,UT,013,14060004,14060004,14,31.40,ST,Yes,Southwest,False,True
